pnu,jiga
1114013300100910000,3286000
1114013600100100000,6593000
1114013600100200000,16200000
1114013600100220000,4985000
1114013600100340000,3286000
1114013800100230000,4722000
1114013800100250000,4770000
1114013800100260000,4770000
1114013800100300000,4762000
1114013800100310000,4778000
1114013800100490000,8683000
1114013800100540000,5757000
1114013800100550000,5700000
1114013800100570000,5814000
1114013800100660000,6220000
1114013800100670000,6095000
1114013800100680000,6095000
1114013800100730000,8450000
1114013800100750000,9132000
1114013800100790000,9281000
1114013800100880000,4766000
1114013800100910000,5850000
1114013800100920000,7281000
1114013800100930000,4766000
1114013800100990000,7571000
1114013800101020000,6530000
1114013800101170000,7120000
1114013800101180000,7120000
1114013800101290000,4919000
1114013900100060000,4000000
1114013900100080000,6220000
1114013900100090000,6220000
1114013900100150000,6641000
1114013900100310000,2788000
1114013900100340000,7571000
1114013900100350000,2583000
1114013900100380000,8431000
1114013900100490000,3114000
1114013900100510000,3390000
1114013900100540000,3769000
1114013900100630000,1656000
1114013900100640000,1656000
1114013900100660000,1656000
1114013900100670000,1656000
1114013900100760000,3738000
1114014200200070000,235400
1114014300100650000,5342000
1114014300100670000,5342000
1114014300100690000,5342000
1114014300100700000,5397000
1114014300100720000,5342000
1114014300100740000,5342000
1114014300100760000,1263000
1114014300100800000,5727000
1114014300100810000,1620000
1114014300100850000,1620000
1114014300100880000,4051000
1114014300100900000,1620000
1114014300100910000,4910000
1114014300100930000,4708000
1114014300100940000,1620000
1114014300100970000,1620000
1114014300100980000,5727000
1114014300101000000,5727000
1114014300101020000,5342000
1114014300101030000,5397000
1114014300101040000,5397000
1114014300101080000,5241000
1114014300101090000,5397000
1114014300101100000,5782000
1114014300101110000,1663000
1114014300101170000,9360000
1114014300101180000,9776000
1114014300101190000,9776000
1114014300101210000,10150000
1114014400100130000,4817000
1114014400100150000,3930000
1114014400100170000,4817000
1114014400100180000,4817000
1114014400100270000,3930000
1114014400100290000,1574000
1114014400100320000,4913000
1114014400100340000,4913000
1114014400100350000,4770000
1114014400100370000,3150000
1114014400100390000,4770000
1114014400100410000,4817000
1114014400101910000,5120000
1114014400101950000,3044000
1114014400101970000,1060000
1114014400102000000,3432000
1114014400102010000,3800000
1114014400102020000,5500000
1114014400102080000,3601000
1114014400102090000,3400000
1114014400102110000,6233000
1114014400102120000,726000
1114016200102970000,5269000
1114016200103390000,2544000
1114016200103470000,1392000
1114016200103510000,1003000
1114016200103760000,4280000
1114016200104000000,4109000
1114016200104010000,4167000
1114016200104020000,5555000
1114016200104160000,7488000
1114016200107980000,1006000
1114016200108020000,3366000
1114016200108040000,1032000
1114016200108050000,1343000
1114016200108210000,4600000
1114016200108220000,3352000
1114016200108230000,2011000
1114016200108240000,2600000
1114016200108250000,3127000
1114016200108270000,3265000
1114016200108280000,2774000
1114016200108290000,2419000
1114016200108300000,2774000
1114016200108310000,3265000
1114016200108320000,1085000
1114016200108330000,858000
1114016200108340000,943800
1114016200108350000,1815000
1114016200108360000,1815000
1114016200108420000,5510000
1114016200108440000,5950000
1114016200200380000,166600
1114016200200390000,170000
1114016200200400000,171500
1114016200200410000,176200
1114016200200420000,170000
1114016200200490000,183200
1114016200200500000,170000
1114016200200510000,166600
1114016200200520000,181000
1114016200200560000,163900
1117013000101120000,9615000
1117013000101140000,29900000
1117013000101460000,3349000
1117013000101670000,4820000
1117013000101870000,5322000
1117013000101920000,1884000
1117013000101940000,4526000
1117013000102190000,5577000
1117013000102600000,999900
1117013000102610000,1983000
1117013100106700000,4408000
1117013100106720000,6593000
1117013100106760000,6593000
1117013100106770000,6593000
1117013100106780000,4408000
1117013100106790000,6593000
1117013100106980000,6593000
1117013100107140000,9719000
1117013100107230000,6768000
1117013100107260000,1894000
1114013300100840001,11840000
1114013300100850001,11700000
1114013300100860001,5070000
1114013600100110001,1567000
1114013600100210001,4464000
1114013600100220001,3325000
1114013600100250001,5073000
1114013600100260001,2062000
1114013800100140001,17000000
1114013800100170001,7865000
1114013800100180001,4875000
1114013800100190001,13060000
1114013800100200001,8820000
1114013800100210001,9123000
1114013800100220001,4474000
1114013800100240001,4722000
1114013800100270001,4770000
1114013800100280001,4762000
1114013800100290001,4687000
1114013800100320001,5342000
1114013800100340001,5757000
1114013800100350001,5700000
1114013800100480001,2336000
1114013800100530001,6892000
1114013800100560001,5700000
1114013800100580001,5700000
1114013800100600001,7080000
1114013800100610001,5700000
1114013800100620001,5700000
1114013800100630001,5700000
1114013800100650001,6220000
1114013800100680001,2052000
1114013800100690001,6095000
1114013800100700001,7143000
1114013800100720001,2788000
1114013800100730001,2788000
1114013800100760001,9132000
1114013800100770001,9132000
1114013800100780001,2890000
1114013800100800001,9013000
1114013800100850001,6530000
1114013800100860001,6530000
1114013800100870001,5676000
1114013800100890001,4766000
1114013800100900001,5850000
1114013800100920001,7281000
1114013800100950001,2583000
1114013800100960001,7830000
1114013800100970001,7281000
1114013800100980001,7571000
1114013800100990001,2583000
1114013800101010001,6725000
1114013800101020001,6530000
1114013800101030001,4619000
1114013800101040001,6133000
1114013800101050001,1765000
1114013800101120001,7120000
1114013800101130001,7120000
1114013800101160001,5400000
1114013800101190001,7120000
1114013800101200001,5400000
1114013800101210001,5257000
1114013800101220001,5251000
1114013800101230001,5099000
1114013800101240001,5420000
1114013800101280001,4181000
1114013800101310001,3630000
1114013800101330001,1197000
1114013800101340001,3550000
1114013900100010001,8703000
1114013900100020001,5951000
1114013900100050001,8671000
1114013900100100001,6723000
1114013900100120001,5540000
1114013900100150001,2290000
1114013900100170001,9306000
